ID,FilePath,Status,Code,Meta
b74eb5e8-fa8c-44da-ace0-dcb195aba2d6,D:\CODING\erdr\erdrApp\src\app\modules\msp\msp-e62\msp-e62.component.ts,AWAIT,"//AWAIT List of attachments tweaks\n  onFileListChange(updatedFileList: any[]): void { \n    const uploadFileArray = this.form.get('uploadFileList') as FormArray;\n    uploadFileArray.clear();\n    updatedFileList.forEach((file) => {\n      const fileGroup = new FormGroup({\n        tedEccDocDto: new FormControl(file.tedEccDocDto),\n        file: new FormControl(file.file)\n      });\n      uploadFileArray.push(fileGroup);\n    });    \n}",//AWAIT List of attachments tweaks
952ce8ca-d0a1-4aef-acb1-f0f83a1901cf,D:\CODING\erdr\erdrApp\src\app\modules\msp\msp-e62\msp-e62.component.ts,AWAIT,//AWAIT decision on custom components for input fields\n  getFormControlErrors(controlName: string): string[] {\n    const control = this.form.get(controlName);\n    const errors: string[] = [];\n    if (control && control.errors) {\n      for (const error in control.errors) {\n        switch (error) {\n          case 'required':\n            errors.push('NOT_EMPTY');\n            break;\n          default:\n            errors.push('This field has an error.');\n        }\n      }\n    }\n    return errors; \n  },//AWAIT decision on custom components for input fields
c5eddd2d-3a3b-410d-93c4-21c4b883f295,D:\CODING\DASHBOARD\front\src\app\modules\code-alerts\components\todos-table\components\file-list\file-list.component.ts,TODO,"//TODO: Check for better implementation instead of using rowClick to display first.\n  populateList() {\n    this.subs.push(this.CodeAlertsApiService.getFileList(this.currentPage, this.pageSize).subscribe({\n      next: (res) => {\n        this.fileList = res.data; \n        this.pathNameGeneratorService.processPaths(res.data);\n        this.fileDisplayList = this.pathNameGeneratorService.generateDynamicDisplayPaths(res.data);\n        this.rowClick(0); //Simulation of rowClick in case of singular files to make it look bearable \n      }\n    }));\n  }",//TODO: Check for better implementation instead of using rowClick to display first.
